Animal_ID,Trial,Dpat,Time_min,l_star,a_star,b_star,PaO2,cal_SaO2,PaCO2,Cl,HCO3,Temp,pH,Cartridge_expired,Coox_SaO2,Hct,total_Hb,O2Hb,COHb,MetHb,O2_suppl
I1,1,0,5,11.3,24.5,11.5,27.9,45.6,54.9,113,27.9,39.2,7.31,No,53,23,8.7,51,0,3.7,No
I1,1,0,10,12.9,31.5,17.5,40.4,71,55.6,113,29.9,39.7,7.34,No,67.8,24,7.8,65.4,1.2,2.3,No
I1,1,0,15,13.5,31.4,14.7,35.3,62.3,58.5,111,31.3,39.7,7.34,No,63.3,21,7.6,60,2.4,2.8,No
I1,1,0,20,14.6,34.1,19.9,41.7,73.4,56.3,111,31.3,39.7,7.35,No,74.1,20,7.2,71,1,3.2,No
I1,1,0,30,15.6,34.8,20.1,40.3,71.9,57.6,109,33,39.6,7.37,No,73.1,18,6.7,69.4,1.7,3.3,No
I1,4,5,5,12.6,30.7,16.5,33.9,56.7,63.4,107,31,39.2,7.3,No,53.8,27,9.6,51.9,0,3.4,No
I1,4,5,10,13.6,33,18.1,34.9,60.1,62.4,106,32,39.6,7.32,No,64.2,23,8.9,61.7,0.8,3.1,No
I1,4,5,15,13.8,31.4,18.2,36.5,61.5,63.8,106,31,39.6,7.29,No,56.2,26,9.8,54.2,0,3.4,No
I1,4,5,20,15.3,34.9,20.9,40.1,70.7,62.5,105,34.9,39.6,7.36,No,70.9,20,7.7,68.1,1.5,2.4,No
I1,4,5,30,15.3,33.2,19.6,42.9,75.3,63.1,105,36.9,39.6,7.38,No,74.5,19,7.3,71.3,1.4,2.9,No
I1,5,0,5,14.4,34.6,20.5,39.5,68,57.1,111,28.9,38.8,7.31,No,69.6,21,7.8,67.1,2.3,1.4,No
I1,5,0,10,16.7,37.6,24.3,45.1,77.3,53.5,111,29.1,39.2,7.34,No,80.6,20,7.6,76.6,3.7,1.3,No
I1,5,0,15,18.1,41.4,27.7,60.6,89.9,49.4,109,29.1,39.3,7.38,No,89.2,19,7.4,84.6,4.2,1,No
I1,5,0,20,19.1,42.4,27.7,60,89.9,46.9,111,28.1,39.3,7.39,No,91.4,18,7,86.5,4.2,1.1,No
I1,5,0,30,19.1,41.7,28.2,60.8,90.5,49.5,110,30.7,39.1,7.4,No,91.4,19,7.2,87.1,3.3,1.4,No
I1,5,0,42,21.9,46.6,33.9,187.4,NA,44.6,109,NA,39.1,NA,Yes,98.4,18,7.3,93.2,4.1,1.2,Yes
I1,5,0,44,20.7,46.2,32.4,152.5,NA,63.5,109,NA,39.2,NA,Yes,97.6,19,7.3,93.6,3.4,0.6,Yes
I1,5,0,47,21.4,46.3,33.5,164.6,99.5,48.5,108,31.2,39.1,7.41,Yes,98.2,19,7.4,92.9,4.6,0.9,Yes
I1,6,0,43,21.7,45.2,31,311.3,99.9,55.4,105,34.4,38.2,7.4,Yes,99,17,6.8,93.8,4.1,1.2,Yes
I1,6,0,45,22,47.6,35.5,258.6,99.8,62.3,105,36.2,38.2,7.37,Yes,99.3,17,6.6,94.3,4.7,0.3,Yes
I10,5,0,5,9.2,21.8,10,7.2,17.2,79.6,106,34.2,37.7,7.24,No,16.3,38,12.7,15.7,0,3.4,No
I10,5,0,10,11.5,27.5,12.6,28.3,42.2,70.2,107,31.5,37.8,7.26,No,43.4,36,12.3,41.8,0.6,2.9,No
I10,5,0,15,13.3,31.1,16.4,41.5,67.3,69.1,107,31.2,38,7.26,No,70.3,34,11.9,68.4,0.5,2.1,No
I10,5,0,20,14,34.4,19.9,44.9,73,68.7,106,32.6,37.4,7.28,No,73.1,33,11.7,71.5,0,2.1,No
I10,5,0,45,16.5,39.4,24.7,NA,NA,NA,NA,NA,NA,NA,NA,83.1,NA,11.1,81.2,0.4,1.9,Yes
I10,6,0,43,21.3,46.3,32.5,190.2,NA,74.2,109,NA,37,NA,Yes,96.4,23,8.9,92.3,3,1.2,Yes
I10,6,0,45,20.8,45.6,31.5,269.2,99.8,73.4,106,36.7,37.5,7.31,No,96.9,24,8,92.1,3.3,1.6,Yes
I10,6,0,48,20.8,46.2,32.1,192.1,99.5,68.8,106,36,37.1,7.33,No,95,28,10.4,90.6,3.2,1.4,Yes
I11,1,70,10,18.3,39,22.9,53.6,88.1,40.5,111,26.5,39.2,7.42,No,88.8,16,6.3,84.6,2.7,2.1,No
I11,1,70,15,19.1,42,28,59.4,90.2,41.5,111,28.3,38,7.44,No,94.3,16,6.9,91,2.2,1.3,No
I11,1,70,20,17.7,40,23.6,58.3,90.2,46.3,108,30.5,39.1,7.43,No,90.5,15,6.1,86.6,2.5,1.8,No
I11,1,70,30,18.2,41.6,27.5,65.4,93.1,45.3,109,31,38.7,7.44,No,92.5,15,5.7,88.2,2.3,2.3,No
I11,3,5,5,16.6,35.9,20.9,47.3,82.5,46.6,110,29.3,40.2,7.41,No,83.2,23,8.3,79.8,1.7,2.3,No
I11,3,5,10,18.1,40.1,27.2,47.4,83.7,44.5,112,29.5,40.3,7.43,No,86.2,20,7.5,82.5,2.2,2,No
I11,3,5,15,17,39.5,24.5,45.8,82.7,46.1,112,31.6,40.1,7.44,No,84.2,19,7.1,80.7,2.1,1.9,No
I11,3,5,20,18.8,40.4,23.3,55.2,89.8,44.3,112,32,39.9,7.47,No,89.1,19,7.2,84.9,2.9,1.8,No
I11,3,5,30,18.7,40.8,26.2,64.5,93.4,44.9,111,32.9,39.4,7.47,No,92.8,18,6.9,88.5,2.8,1.8,No
I11,4,20,5,16.6,38.2,24.1,48.9,80.8,50,110,26.4,40.8,7.33,No,82.4,24,9,79.9,0.4,2.7,No
